"","age_group","score_type","1","2","3","4","baseline_last_diff","baseline_last_gen"
"1","11-15","interval_score",922.437308563061,1546.34503879385,1555.72737691124,1555.36269010932,1048.84441757958,986.697233524627
"2","11-15","aem",1150.11790220013,1841.05381816983,1850.73704256584,1842.52722412285,1351.91920790896,1308.04575269234
"3","11-15","bias",0.0767213114754098,-0.25016393442623,-0.248196721311475,-0.255409836065574,-0.136065573770492,-0.0826229508196721
"4","16-24","interval_score",2114.22254563421,1693.65291761499,1699.30439232492,1698.71477876209,790.400461528948,1082.00482140167
"5","16-24","aem",2389.11279611164,2051.1965135124,2039.86015160717,2047.35733990306,1177.61016659975,1492.17308896744
"6","16-24","bias",-0.439016393442623,-0.0531147540983607,-0.0422950819672131,-0.0422950819672131,-0.194754098360656,0.0216393442622951
"7","2-10","interval_score",1451.878441851,2303.23469659153,2316.46344044061,2317.72982675759,760.360196272528,1000.89498553427
"8","2-10","aem",1794.58800556003,2709.7849986812,2712.32658947985,2716.29243702083,1127.57840658687,1407.42167970124
"9","2-10","bias",0.0763934426229508,-0.24,-0.247540983606557,-0.247540983606557,-0.203606557377049,-0.207213114754098
"10","25-34","interval_score",1246.57849410091,1073.87705725973,1090.52015931143,1090.41431496876,732.961737365538,718.219995830084
"11","25-34","aem",1460.31523591527,1383.56896093672,1386.86514760711,1391.20411970743,1042.21299894228,1024.31510938937
"12","25-34","bias",-0.474754098360656,-0.0763934426229508,-0.0973770491803279,-0.102295081967213,-0.117049180327869,-0.0472131147540984
"13","35-49","interval_score",1372.04364346219,1907.66567070496,1961.0938992683,1952.74109590844,1494.76615179832,1362.23050623644
"14","35-49","aem",1668.30419411704,2317.72606816866,2379.42650045102,2375.98163273251,1925.54503114,1790.16944532091
"15","35-49","bias",-0.111147540983607,-0.0216393442622951,-0.0308196721311475,-0.0455737704918033,-0.14327868852459,-0.0386885245901639
"16","50-69","interval_score",964.559187337147,1377.73832641897,1437.39001642024,1434.5728469828,886.457255967827,1023.36845576573
"17","50-69","aem",1244.10934300388,1747.21523752976,1826.25232570047,1823.43609783162,1247.0242421263,1387.37791570082
"18","50-69","bias",0.0314754098360656,-0.0462295081967213,-0.0881967213114754,-0.0898360655737705,-0.170491803278689,-0.039344262295082
"19","70+","interval_score",425.459876482812,679.219047149501,685.427888187236,683.621765043234,495.442494965723,512.445499073079
"20","70+","aem",541.61475116147,831.295869633606,835.827181060702,831.110089617533,661.878039727996,682.465022644233
"21","70+","bias",-0.295737704918033,-0.0173770491803279,-0.0186885245901639,-0.0285245901639344,-0.171803278688525,-0.0701639344262295
