"","periods","score_type","1","2","3","4","5","baseline_expex_lv","baseline_last_val","baseline_linex_lv"
"1","Lockdown 2","crps",24506.8959844826,21112.5751722575,19929.8004674017,19066.1180252559,26909.387007346,33166.985115753,19065.9210119814,33590.299316336
"2","Lockdown 2","ae_median",27772.118426288,24629.0945123298,23467.8135599489,23110.0433218536,32334.9599105999,33166.985115753,19065.9210119814,33590.299316336
"3","Lockdown 2 
easing","crps",32662.8320128745,27222.1632909864,27521.3898203268,27991.0995584369,32452.7205310254,38045.8280648064,29206.3693200798,43334.389871325
"4","Lockdown 2 
easing","ae_median",35634.3317773853,30200.2519354219,30570.9140488475,30865.323572657,37054.7324081936,38045.8280648064,29206.3693200798,43334.389871325
"5","Christmas","crps",24787.374714849,38634.4926689363,35666.4176067206,34698.5454412084,41463.347045041,58888.9721680956,36017.1781890258,53237.3357185166
"6","Christmas","ae_median",28330.4065665591,42771.395165918,39595.049536529,38804.6087353648,47880.5987603246,58888.9721680956,36017.1781890258,53237.3357185166
"7","Lockdown 3","crps",5919.78381758328,7605.05357371756,7302.26986929987,7305.11159815957,8782.46691709323,7714.1480575932,5056.82788109308,13735.148754351
"8","Lockdown 3","ae_median",6650.05125815676,8283.4808114778,8044.70819243018,8052.75497814446,9700.58190453233,7714.1480575932,5056.82788109308,13735.148754351
"9","Lockdown 3 
Schools Open","crps",4852.33868448471,4542.16454442164,5066.88278481867,5127.9457855776,6367.89637819776,8302.42809539365,7776.37169769863,10100.0483958478
"10","Lockdown 3 
Schools Open","ae_median",5570.28419534215,5224.74166275686,5808.04723978972,5889.92080618573,7248.4895546988,8302.42809539365,7776.37169769863,10100.0483958478
"11","Lockdown 3 
easing","crps",26006.6612404436,30291.5573357688,27645.0400500778,27497.5652843994,35060.734788529,54135.6986657382,20588.9574937139,29870.0557548885
"12","Lockdown 3 
easing","ae_median",29778.969313779,34460.1036372062,31449.0325861858,31388.3753480216,41398.8260310806,54135.6986657382,20588.9574937139,29870.0557548885
"13","Opening Up","crps",55580.3934008298,57048.3115392091,56519.9330288438,56537.7729541669,60548.6586424292,86634.2470890972,54136.548058579,75548.8531740837
"14","Opening Up","ae_median",61313.4398103121,62902.0079849366,62221.3479139774,62418.0087964282,68095.4194646594,86634.2470890972,54136.548058579,75548.8531740837
